Bedrooms,Area Safety (0-10),Distance to School (km),Distance to Church (km),"Garden (0-No, 1-Yes)",House Age (Years),Family Suitability
4,2,4.78,3.29,0,27,Not Good for Family
4,4,3.54,3.88,0,21,Not Good for Family
1,9,1.54,1.02,1,8,"Yes, Good for Family"
5,1,4.22,3.16,0,21,Not Good for Family
1,8,1.56,1.33,1,7,Not Good for Family
1,9,0.52,1.89,1,1,Not Good for Family
5,3,4.42,4.62,0,18,Not Good for Family
1,10,1.9,1.96,1,5,"Yes, Good for Family"
5,3,4.79,3.64,0,15,Not Good for Family
1,6,1.57,1.69,1,5,"Yes, Good for Family"
5,4,4.11,4.19,0,21,Not Good for Family
4,4,3.2,4.33,0,27,Not Good for Family
5,4,4.73,4.12,0,26,Not Good for Family
5,4,4.49,4.44,0,15,Not Good for Family
1,10,1.94,0.52,1,5,"Yes, Good for Family"
5,3,4.52,4.12,0,29,Not Good for Family
1,9,0.52,1.86,1,9,"Yes, Good for Family"
5,3,4.9,4.15,0,29,Not Good for Family
1,8,1.13,0.83,1,3,"Yes, Good for Family"
5,2,3.97,3.9,0,27,Not Good for Family
1,6,0.76,0.73,1,2,"Yes, Good for Family"
4,3,4.3,4.49,0,27,Not Good for Family
4,2,4.99,4.93,0,19,Not Good for Family
5,2,4.86,3.14,0,16,Not Good for Family
1,7,1.52,1.01,1,3,"Yes, Good for Family"
4,2,4.42,3.3,0,22,Not Good for Family
4,3,4.96,3.15,0,27,Not Good for Family
2,7,0.84,0.9,1,5,"Yes, Good for Family"
5,4,3.44,3.83,0,28,Not Good for Family
2,8,1.99,1.12,1,2,"Yes, Good for Family"
4,2,3.0,3.71,0,17,Not Good for Family
5,2,3.19,4.16,0,20,Not Good for Family
1,6,1.39,1.03,1,3,"Yes, Good for Family"
4,4,4.77,4.56,0,22,Not Good for Family
2,6,1.44,1.38,1,7,"Yes, Good for Family"
4,1,4.42,3.22,0,26,Not Good for Family
4,4,3.26,4.62,0,25,Not Good for Family
1,9,1.38,1.91,1,8,"Yes, Good for Family"
5,2,3.79,4.78,0,25,Not Good for Family
1,8,1.41,1.25,1,6,"Yes, Good for Family"
5,1,3.07,4.65,0,20,Not Good for Family
2,9,1.26,1.45,1,6,"Yes, Good for Family"
2,10,0.87,1.12,1,4,"Yes, Good for Family"
2,9,1.0,0.75,1,4,"Yes, Good for Family"
1,8,0.78,0.92,1,3,"Yes, Good for Family"
4,1,4.46,3.74,0,18,Not Good for Family
1,10,1.03,0.68,1,9,"Yes, Good for Family"
2,7,0.89,1.49,1,9,Not Good for Family
2,7,1.92,1.83,1,4,"Yes, Good for Family"
5,3,3.34,3.44,0,22,Not Good for Family
2,6,1.51,1.6,1,2,"Yes, Good for Family"
5,4,3.55,4.12,0,17,Not Good for Family
1,10,1.02,1.45,1,2,"Yes, Good for Family"
5,1,4.99,3.94,0,28,Not Good for Family
1,8,1.54,1.82,1,9,Not Good for Family
2,10,0.64,1.4,1,4,"Yes, Good for Family"
4,4,4.27,3.63,0,18,Not Good for Family
1,9,1.42,1.92,1,2,"Yes, Good for Family"
1,7,1.03,1.47,1,1,"Yes, Good for Family"
2,6,1.06,0.93,1,8,"Yes, Good for Family"
5,4,3.37,4.87,0,15,Not Good for Family
1,7,1.12,1.37,1,9,"Yes, Good for Family"
5,1,3.16,3.86,0,26,Not Good for Family
2,7,0.88,0.94,1,1,"Yes, Good for Family"
4,1,4.66,3.54,0,26,Not Good for Family
1,9,1.08,1.94,1,2,"Yes, Good for Family"
1,9,1.7,1.47,1,3,"Yes, Good for Family"
1,8,1.43,1.0,1,8,"Yes, Good for Family"
1,9,0.76,1.15,1,7,"Yes, Good for Family"
2,8,1.55,1.3,1,1,Not Good for Family
1,10,1.63,1.69,1,9,"Yes, Good for Family"
4,1,3.63,3.34,0,23,Not Good for Family
4,4,4.13,3.32,0,20,Not Good for Family
1,6,0.73,1.97,1,6,"Yes, Good for Family"
1,9,1.4,0.91,1,3,"Yes, Good for Family"
2,10,1.61,1.33,1,6,"Yes, Good for Family"
1,9,1.74,0.98,1,3,"Yes, Good for Family"
1,9,1.57,0.86,1,5,"Yes, Good for Family"
5,2,4.9,4.78,0,26,Not Good for Family
1,10,0.67,0.57,1,1,"Yes, Good for Family"
5,3,4.01,4.71,0,19,Not Good for Family
4,4,3.75,3.74,0,18,Not Good for Family
1,9,1.58,0.92,1,3,"Yes, Good for Family"
2,8,1.9,1.68,1,8,"Yes, Good for Family"
2,7,0.67,1.79,1,8,"Yes, Good for Family"
5,4,3.27,4.94,0,24,Not Good for Family
2,8,0.78,0.56,1,4,"Yes, Good for Family"
2,7,0.64,1.06,1,8,"Yes, Good for Family"
5,1,4.38,3.77,0,16,Not Good for Family
4,1,3.81,4.14,0,18,Not Good for Family
2,10,1.99,0.61,1,3,"Yes, Good for Family"
1,10,1.61,0.86,1,1,"Yes, Good for Family"
5,3,3.85,4.81,0,21,Not Good for Family
5,1,3.2,3.17,0,27,Not Good for Family
2,8,1.72,1.7,1,9,"Yes, Good for Family"
2,9,0.76,0.53,1,5,"Yes, Good for Family"
4,1,3.56,3.35,0,23,Not Good for Family
1,9,1.05,1.96,1,4,"Yes, Good for Family"
1,9,0.61,0.75,1,1,"Yes, Good for Family"
5,2,3.1,4.06,0,29,Not Good for Family
